source_code,source_label,target_line,allocation_pct,inclusion_note,consolidation_treatment,evidence,reviewer,crosswalk_version
CTRU+AHGO,"VAT (net of VAT refunds) + VAT refunds, National Accounts basis, £bn FY",R01,100,"the anchor's accrued D.211 includes refunded VAT, so the composite is net VAT plus refunds; FY converted per §7.10; growth only (§7.2)",public sector receipts basis (taxes are GG in substance; perimeter measured),"measured coverage at boundary: 0.991 (CY2025); overlap 2000-2025 shares 0.99-1.01; ONS codes per databank row 5; national tax list maps VAT incl. refunds to D211",stage7-build,1.0
MS6W+LISB+MF6X+MS62,"PAYE + self-assessed + other income tax + capital gains tax",R03,100,"D.51 households incl. holding gains (D51M): the anchor's D51M is income taxes paid by households including CGT (national tax list); NICs are D.61 not here (§14)",public sector receipts basis,"measured coverage at boundary: 1.032 (CY2025); overlap 2000-2025 shares 1.00-1.03",stage7-build,1.0
CPSC+CPSB+ACCJ+JIS6+N43V,"onshore CT (incl. bank surcharge and EGL per databank definition) + offshore CT + petroleum revenue tax + energy profits levy + diverted profits tax",R04,100,"D.51 corporations (D51O) per the national tax list; National Accounts (time-adjusted cash) vs accrued anchor timing wedge (§7.13, D17)",public sector receipts basis,"measured coverage at boundary: 0.988 (CY2025); overlap 2000-2025 shares 0.97-0.99",stage7-build,1.0
CUDG+MM9F+BKST+GTAO+MF6V+EKED+CWAA+CWAD+LSNT+AHGP+M98G+KIH3+TA.5:Business rates,"fuel + SDLT + stamp shares + tobacco + alcohol + VED + APD + IPT + CCL + environmental levies + ETS + bank levy + business rates (EFO annex A.5)",R02,100,"D.2 minus D.211 (production and product taxes ex VAT) per the national tax list; business rates only exist in the EFO annex table so the composite starts FY 2024-25 and coverage is measured at CY2025",public sector receipts basis,"measured coverage at boundary: 0.923 (CY2025, the single overlap year — 75% forecast weight, documented); without business rates the multi-year overlap runs 0.70-0.73",stage7-build,1.0
Council tax+ACCH+DH7A,"council tax + inheritance tax + licence fee receipts",R05,100,"partial composite for D.5-other + D.59 + D.91: council tax and licence fee are D.59, inheritance tax is D.91 (national tax list); the remaining small items have no forecast anywhere (D7 partial)",public sector receipts basis,"measured coverage at boundary: 0.787 (CY2025, C band -> maximum_extension only); overlap 2000-2025 shares 0.74-0.80",stage7-build,1.0
AIIH,"national insurance contributions (NICs)",R06,100,"compulsory actual D.611/D.613 only: the anchor's D.61 additionally includes imputed (unfunded public-service pension) and voluntary contributions, hence the C band; D12 long-term leg beyond the AMECO D.61 horizon (2028-2030)",public sector receipts basis,"measured coverage at boundary: 0.756 (CY2025); overlap 2000-2025 shares 0.75-0.78; AMECO UTSG (complete D.61, grade A) remains the strict source through 2027",stage7-build,1.0
Public sector interest and dividend receipts,"PS interest and dividend receipts",R07,100,"NOT APPLIED: mixes dividends (D.42) and the public-sector perimeter into a D.41-resources line; recorded so the non-application is machine-documented",public sector,"measured share outside every band (forecast_boundaries.csv not_applied record)",stage7-build,1.0
Fuel duties + Tobacco duties + Alcohol duties + Air passenger duty + Climate change levy and carbon price floor + Environmental levies,"PSF databank per-duty receipts, £bn FY",R02_A,100,"excise duties and consumption taxes (NTL table 9 code D214A) per the national tax list: hydrocarbon oils, tobacco, beer/wine/spirits, air passenger duty, climate change levy, renewables obligation and contracts for difference (the databank environmental levies) — 92% of the D214A row in 2024; landfill, aggregates, soft-drinks and plastic-packaging levies have no databank series; vehicle excise duty (D.29/D.59), insurance premium tax (D.214G) and gambling duties (D.214F) excluded; FY converted per §7.10; composite, residual per D2 (D-S11-005)",public sector receipts basis,"measured coverage against NTL table 9 D214A at the last common year (forecast_boundaries.csv)",stage11-build,1.0
EFO 3.4: Class 1 Employer NICs,"EFO detailed receipts table 3.4, £bn FY",R06_E,100,"employers' actual social contributions (D.611): Class 1 employer NICs; table 3.4 starts FY 2024-25 so CY 2025 is the single overlap year with ESA Table 2 D611 receivable — measurable (D-S11-005)",public sector receipts basis,"measured coverage at CY2025 (forecast_boundaries.csv)",stage11-build,1.0
EFO 3.4: Class 1 Employee NICs + Class 4 and Class 2 Self employed NICs,"EFO detailed receipts table 3.4, £bn FY",R06_H,100,"households' actual social contributions (D.613): employee Class 1 plus self-employed Classes 2 and 4; composite, residual per D2; single overlap year CY2025 (D-S11-005)",public sector receipts basis,"measured coverage at CY2025 (forecast_boundaries.csv)",stage11-build,1.0
