source_code,source_label,target_line,allocation_pct,inclusion_note,consolidation_treatment,evidence,reviewer,crosswalk_version
Tab2:Steuern vom Umsatz,"Umsatzsteuer + Einfuhrumsatzsteuer, cash, all levels",R01,100,"growth only (§7.11); cash VAT vs accrued D.211; the EU VAT-based own resource is a separate financing item in the source (Tab 5), so the tax line is gross as ESA requires",all government levels (Finanzstatistik),"measured coverage at boundary: 0.9986 (year 2025); Eurostat national tax list DE maps USt+EUSt to D.211",stage3-build,1.0
Tab2:Lohnsteuer,"Lohnsteuer (Kasse: nach Kindergeld/Zulagen-Abzug)",R03,100,"component of the R03 composite; cash after Kindergeld and Altersvorsorgezulage deduction while the anchor is gross (D17 wedge, documented; brutto series in Tab 8.1 overshoots the anchor because ESA nets differently) - growth only",all levels,"composite coverage 0.9789 at 2025; NTL DE: Lohnsteuer -> D.51A",stage3-build,1.0
Tab2:veranl. Einkommensteuer,"veranlagte Einkommensteuer (Kasse)",R03,100,"component of the R03 composite; growth only",all levels,"NTL DE: veranlagte ESt -> D.51A",stage3-build,1.0
Tab2:nicht veranl. St. v. Ertrag*,"nicht veranlagte Steuern vom Ertrag (Kapitalertragsteuer auf Dividenden)",R03,100,"component of the R03 composite; withholding on distributed profits, predominantly household recipients on the NTL assignment; corporate-recipient share is not separable from official data - inclusion documented",all levels,"NTL DE assignment to D.51A block",stage3-build,1.0
Tab2:AbgSt. a. Zins- u. V.-ertr.,"Abgeltungsteuer auf Zins- und Veraeusserungsertraege",R03,100,"component of the R03 composite; household withholding tax",all levels,"NTL DE: Abgeltungsteuer -> D.51A",stage3-build,1.0
Tab8.2:Soli auf LSt/vESt/AbgSt/nvStvE,"Solidaritaetszuschlag on the four household income taxes",R03,100,"payer-type split per §14 using the source's own Tab 8.2 decomposition (official data, §11.5 weights rule); four cells summed into the R03 composite",all levels,"Tab 8.2 publishes the Soli by underlying tax with forecasts to 2030",stage3-build,1.0
Tab2:Körperschaftsteuer,"Koerperschaftsteuer (Kasse)",R04,100,"component of the R04 composite; growth only",all levels,"composite coverage 0.9462 at 2025; NTL DE: KSt -> D.51B",stage3-build,1.0
Tab2:Mindeststeuer,"globale Mindeststeuer (Pillar 2)",R04,100,"component of the R04 composite; new tax from 2026",all levels,"corporate income tax by construction",stage3-build,1.0
Tab7:Gewerbesteuer brutto,"Gewerbesteuer, gross municipal receipts",R04,100,"component of the R04 composite; gross (before Umlage - the Umlage is an intra-government transfer netted in consolidation); §14: maps to the corporate D.51 block per the NTL payer assignment",municipal (gross),"NTL DE: Gewerbesteuer -> D.51B block; Tab 7 carries forecasts to 2030",stage3-build,1.0
Tab8.2:Soli auf KSt,"Solidaritaetszuschlag on Koerperschaftsteuer",R04,100,"payer-type split per §14 from Tab 8.2 (official data)",all levels,"Tab 8.2 decomposition",stage3-build,1.0
