iso3,classification,line_code,status,note
DEU,COFOG,GF01,no_official_forecast,"§7.9: GF01 total has no direct forecast source; strict ends at the last actual — maximum_extension carries the mandated GF01_7-growth proxy (grade D, coverage measured, residual_method recorded; D-S4-002)"
DEU,COFOG,GF01_X,no_official_forecast,never forecast by construction (D10); derived only
DEU,COFOG,GF02,source_blocked,identified source DEU_BMF_FINPLAN (Epl. 14 + Sondervermögen Bundeswehr) is PDF-only; §11.4 manual ingestion requires an independent second keying unavailable to a single-agent session (OQ-5 precedent) — OQ-6; strict ends at the last actual
DEU,COFOG,GF03,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
DEU,COFOG,GF04,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
DEU,COFOG,GF04_5,no_official_forecast,D7: no institution publishes a projection of transport spending on the COFOG 04.5 concept; strict and maximum end at the last actual (D-S13-005)
DEU,COFOG,GF04_X,no_official_forecast,never forecast by construction (D-S13-005): the remainder GF04 - GF04_5 is derived only
DEU,COFOG,GF05,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
DEU,COFOG,GF06,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
DEU,COFOG,GF08,no_official_forecast,"D7: no official forecast identified anywhere (seed register and Stage 3 search: AMECO GG aggregates, AR 2024, DSM 2025, Steuerschätzung); strict and maximum end at the last actual"
DEU,COFOG,GF10,grade_below_strict,"AR pensions+LTC composite measured at 61% of GF10 (grade C); BMAS Rentenversicherungsbericht blocked (bmas.de egress, OQ-6) — no strict forecast; maximum_extension chains the AMECO D.62 proxy (to 2027) into the AR composite (to 2070) per D12"
DEU,COFOG,GF10_5,no_official_forecast,"D7: no institution publishes a projection of unemployment benefits on the COFOG 10.5 concept (AMECO's UUTZ105 is the cyclical component of the deficit, not the line; the AR covers pensions, health, LTC, education only); strict and maximum end at the last actual (D-S13-005)"
DEU,COFOG,GF10_X,no_official_forecast,"never forecast by construction (D-S13-002, the D10 pattern): the remainder GF10 - GF10_2 - GF10_5 is derived only, so the GF10 identity stays exact in every published year"
DEU,COFOG,TE,not_extended,"totals are envelopes (§6.1, D4): the envelope constrains V15 but is not published as a stitched TE path"
DEU,ESA_EXP,E08,grade_below_strict,"AMECO UIGG0 is gross fixed capital formation (P.51G) only — one component of P.5 + NP; §7.8 single-component proxy, applied in maximum_extension to 2027 with the measured share; no official forecast of inventories/valuables/non-produced assets exists"
DEU,ESA_EXP,E09,grade_below_strict,"AMECO UKTGT (D.9 exactly) stops at the last actual; UKOG (other capital expenditure incl. capital transfers) is the forecast candidate — a superset proxy (§7.8), maximum_extension only where its measured share is in band"
DEU,ESA_EXP,TE_ESA,not_extended,"totals are envelopes (§6.1, D4): the same TE envelope constrains the ESA_EXP forecast sum in V15; not published as a stitched path"
DEU,ESA_REV,R02,no_machine_readable_source,"Steuerschätzung publishes Länder-/Gemeindesteuern only as cash aggregates mixing D.2, D.59 and D.91 — no ESA-complete component set for D.2 minus D.211; AMECO UTVG is total D.2 only"
DEU,ESA_REV,R02_X,no_official_forecast,never forecast by construction (D-S13-005): the remainder R02 - R02_A is derived only
DEU,ESA_REV,R05,grade_below_strict,"AMECO UTKG covers 34% of the line (D, not applied); Erbschaftsteuer is not separately published in the Steuerschätzung tables; D7 lists R05 as partial"
DEU,ESA_REV,R06_E,no_official_forecast,no official forecast of employers' contributions separately: AMECO carries actual contributions in total (UTAG) and imputed (UTIG) but no employer/household split; the Steuerschätzung does not cover contributions; BMAS is GRV-only and PDF (OQ-5); strict and maximum end at the last actual (D-S13-005)
